model_family,model_name,f1,accuracy,rmse,mae,r2,rules,freq_itemsets,train_rows,test_rows,transactions
classification,DecisionTreeClassifier,0.6786282662928452,0.7763675851771413,,,,,,68887.0,14734.0,
classification,GBTClassifier,0.6786282662928452,0.7763675851771413,,,,,,68887.0,14734.0,
classification,GBTClassifier_CV,,,,,,,,69609.0,14916.0,
classification,LinearSVC,0.6786282662928452,0.7763675851771413,,,,,,68887.0,14734.0,
classification,LogisticRegression,0.6786282662928452,0.7763675851771413,,,,,,68887.0,14734.0,
classification,LogisticRegression_CV,,,,,,,,69609.0,14916.0,
classification,NaiveBayes,0.6943839564784072,0.7437898737613683,,,,,,68887.0,14734.0,
classification,RandomForestClassifier,0.6786282662928452,0.7763675851771413,,,,,,68887.0,14734.0,
classification,RandomForest_CV,,,,,,,,69609.0,14916.0,
clustering,BisectingKMeans,,,,,,,,65592.0,13967.0,
clustering,GaussianMixture,,,,,,,,65592.0,13967.0,
clustering,KMeans,,,,,,,,65592.0,13967.0,
pattern_mining,FPGrowth,,,,,,18.0,66.0,,,3236.0
recommendation,ALS,,,1.1838343421215172,,,,,70003.0,15001.0,
regression,DecisionTreeRegressor,,,201.3143605130648,95.52489007733966,0.15766536124191344,,,69294.0,14761.0,
regression,LinearRegression,,,202.1774859539779,97.6402290062723,0.15042694039845395,,,69294.0,14761.0,
regression,LinearRegression_CV,,,,,,,,69077.0,14861.0,
regression,RandomForestRegressor,,,201.4792682615533,96.71126166123081,0.1562847900614347,,,69294.0,14761.0,
classification,GBTClassifier,,,,,,,,,,
classification,LogisticRegression,,,,,,,,,,
classification,LogisticRegression,,,,,,,,,,
classification,RandomForest,,,,,,,,,,
regression,LinearRegression,,,,,,,,,,
regression,LinearRegression,,,,,,,,,,
